312,1973-01-01 00:00:00+01
137,1973-02-01 00:00:00+01
88140,1973-03-01 00:00:00+01
108000,1973-04-01 00:00:00+01
101063,1973-05-01 00:00:00+01
66881,1973-06-01 00:00:00+01
108438,1973-07-01 00:00:00+01
135112,1973-08-01 00:00:00+01
137293,1973-09-01 00:00:00+01
142321,1973-10-01 00:00:00+01
147027,1973-11-01 00:00:00+01
121276,1973-12-01 00:00:00+01
155492,1974-01-01 00:00:00+01
158959,1974-02-01 00:00:00+01
185626,1974-03-01 00:00:00+01
175958,1974-04-01 00:00:00+01
198708,1974-05-01 00:00:00+01
180382,1974-06-01 00:00:00+01
194800,1974-07-01 00:00:00+01
178169,1974-08-01 00:00:00+01
182090,1974-09-01 00:00:00+01
205410,1974-10-01 00:00:00+01
211813,1974-11-01 00:00:00+01
169910,1974-12-01 00:00:00+01
197754,1975-01-01 00:00:00+01
195900,1975-02-01 00:00:00+01
215730,1975-03-01 00:00:00+01
225833,1975-04-01 00:00:00+01
221275,1975-05-01 00:00:00+01
200621,1975-06-01 00:00:00+01
210518,1975-07-01 00:00:00+01
202834,1975-08-01 00:00:00+01
218341,1975-09-01 00:00:00+01
242017,1975-10-01 00:00:00+01
211467,1975-11-01 00:00:00+01
97811,1975-12-01 00:00:00+01
226611,1976-01-01 00:00:00+01
226402,1976-02-01 00:00:00+01
145333,1976-03-01 00:00:00+01
239853,1976-04-01 00:00:00+02
201262,1976-05-01 00:00:00+02
395,1976-06-01 00:00:00+02
208195,1976-07-01 00:00:00+02
211542,1976-08-01 00:00:00+02
234693,1976-09-01 00:00:00+02
222146,1976-10-01 00:00:00+01
242099,1976-11-01 00:00:00+01
198480,1976-12-01 00:00:00+01
